show_id,country_id
s1,1
s2,2
s3,3
s4,3
s5,4
s6,3
s7,3
s8,1
s8,5
s8,6
s8,7
s8,8
s8,9
s9,7
s10,1
s11,3
s12,3
s13,8
s13,10
s14,3
s15,3
s16,1
s17,3
s18,11
s19,3
s20,3
s21,3
s22,12
s23,3
s24,3
s25,4
s26,13
s27,3
s28,1
s29,1
s30,1
s30,4
s30,14
s31,3
s32,3
s33,7
s34,3
s35,3
s36,3
s37,3
s38,15
s39,16
s39,17
s39,1
s40,4
s41,1
s42,1
s43,1
s44,1
s45,1
s46,3
s47,2
s47,1
s47,18
s48,3
s49,1
s50,19
s51,4
s52,18
s53,18
s54,18
s55,18
s56,1
s57,18
s58,18
s59,18
s60,18
s61,18
s62,18
s63,18
s64,18
s65,3
s66,7
s67,4
s68,1
s69,3
s70,4
s71,3
s72,3
s73,7
s74,19
s75,3
s76,3
s77,18
s78,3
s79,3
s80,3
s81,3
s82,1
s83,1
s84,3
s85,19
s86,3
s87,3
s88,3
s89,3
s90,3
s91,20
s91,1
s92,14
s93,21
s94,3
s95,7
s95,1
s96,1
s96,7
s97,1
s98,1
s99,7
s100,14
s100,1
s101,3
s102,1
s103,3
s104,3
s105,22
s106,4
s107,1
s108,1
s109,13
s110,20
s111,3
s112,1
s112,23
s113,3
s114,3
s115,4
s116,7
s116,13
s116,14
s117,4
s118,7
s118,1
s119,4
s120,3
s121,13
s122,3
s123,7
s123,13
s123,14
s123,1
s124,3
s125,22
s126,1
s127,4
s128,1
s128,17
s129,3
s130,8
s130,1
s131,3
s132,1
s133,3
s134,2
s134,1
s135,1
s135,11
s136,1
s136,24
s136,14
s136,18
s137,1
s137,24
s137,25
s137,7
s138,13
s138,1
s139,1
s140,1
s141,26
s141,27
s142,1
s142,7
s142,17
s143,8
s143,1
s144,1
s145,1
s146,1
s147,1
s148,3
s149,3
s150,1
s151,1
s152,16
s152,28
s153,1
s154,29
s155,18
s156,7
s156,1
s157,1
s158,17
s159,1
s160,28
s161,1
s162,1
s163,1
s163,16
s163,28
s164,1
s165,1
s166,3
s167,24
s167,1
s168,1
s168,17
s169,1
s170,1
s171,1
s172,1
s173,1
s173,8
s174,1
s175,1
s176,1
s177,1
s178,7
s178,1
s179,1
s180,1
s181,3
s182,3
s183,1
s184,1
s185,1
