show_id,director_id
s1,1
s3,3
s6,4
s7,5
s7,6
s8,7
s9,8
s10,9
s12,10
s13,11
s14,12
s17,13
s17,14
s19,15
s21,16
s23,17
s24,18
s24,19
s25,20
s27,21
s28,22
s29,23
s30,24
s31,25
s31,26
s31,27
s36,28
s37,29
s39,30
s42,31
s43,32
s44,33
s45,34
s46,35
s47,36
s48,37
s49,38
s52,39
s53,39
s54,39
s55,39
s57,40
s58,41
s59,40
s60,41
s61,40
s62,42
s63,43
s64,44
s65,45
s69,46
s69,47
s69,48
s72,49
s74,50
s76,51
s78,52
s79,53
s80,53
s81,54
s82,55
s85,56
s85,57
s87,58
s89,59
s91,60
s92,61
s92,62
s94,63
s95,64
s97,65
s102,66
s102,67
s103,68
s104,69
s106,70
s108,71
s111,72
s111,73
s113,74
s114,75
s115,76
s116,77
s117,78
s118,79
s119,80
s120,81
s123,77
s127,82
s128,83
s129,84
s130,85
s131,86
s132,87
s134,88
s135,89
s136,90
s137,91
s138,92
s139,85
s140,93
s141,94
s142,95
s143,96
s144,97
s145,98
s146,99
s146,100
s147,101
s149,102
s150,103
s151,104
s152,105
s152,106
s153,107
s156,108
s157,109
s158,110
s159,111
s160,112
s162,113
s163,98
s164,114
s165,115
s167,116
s168,117
s168,118
s169,119
s169,120
s170,121
s171,122
s172,123
s173,124
s174,125
s175,38
s176,126
s177,127
s178,128
s179,129
s179,130
s180,131
s181,132
s183,133
s184,121
s186,66
s186,67
s189,134
s189,135
s191,136
s192,137
s193,138
s196,139
s197,140
s199,50
s200,141
s201,142
s202,143
s202,144
s203,145
s204,146
s205,138
s206,147
s207,148
s208,149
s209,150
s210,150
s211,151
s212,152
s215,153
s216,149
s217,154
s217,155
s218,150
s222,156
s223,157
s224,158
s224,159
s228,160
s229,161
s230,162
s231,163
s232,164
s234,165
s236,166
s237,167
s238,167
s239,167
s240,167
s241,168
s245,169
s247,170
s248,171
s250,172
s251,173
s252,174
s253,175
s254,176
s256,177
s257,178
s258,176
s259,179
s260,180
s262,12
s263,181
s265,182
s268,77
s269,183
s271,184
s274,185
s277,186
s279,187
s280,188
s282,189
s283,190
s284,191
s285,192
s286,193
s288,194
s291,195
s293,196
s294,197
s295,198
s296,199
s298,200
s298,201
s298,202
s298,203
s298,204
s298,205
s298,167
s298,206
s298,207
s299,208
s300,209
s301,210
s301,211
s302,212
s303,213
s303,214
s304,215
s305,216
s306,217
s307,218
s308,219
s309,220
s311,221
s315,222
s316,223
s317,224
s318,225
s319,226
s319,227
s326,228
s327,229
s328,230
s329,231
s330,31
s331,232
s331,233
s333,90
s334,234
s335,235
s336,236
s338,237
s340,238
s340,239
s341,240
s342,241
s343,242
s344,243
s345,243
s346,244
s347,245
s348,246
s349,247
s350,248
s351,249
s352,250
s353,251
s354,252
s355,253
s356,254
s357,255
s358,157
s359,256
s360,93
s361,257
s363,258
s364,259
s366,260
s368,261
s372,260
s373,262
s374,263
s375,264
s376,265
s378,266
s379,267
s381,268
s384,269
s385,270
s388,271
s389,272
s389,273
s390,274
s393,275
s394,276
s395,277
s396,278
s397,279
s399,280
s403,281
s406,282
s407,283
s408,283
s409,283
s410,283
s411,283
s412,283
s413,283
