show_id,duration,type_id
s1,90 min,1
s2,2 Seasons,2
s3,1 Season,2
s4,1 Season,2
s5,2 Seasons,2
s6,1 Season,2
s7,91 min,1
s8,125 min,1
s9,9 Seasons,2
s10,104 min,1
s11,1 Season,2
s12,1 Season,2
s13,127 min,1
s14,91 min,1
s15,1 Season,2
s16,4 Seasons,2
s17,67 min,1
s18,2 Seasons,2
s19,94 min,1
s20,1 Season,2
s21,1 Season,2
s22,5 Seasons,2
s23,161 min,1
s24,61 min,1
s25,166 min,1
s26,2 Seasons,2
s27,147 min,1
s28,103 min,1
s29,97 min,1
s30,106 min,1
s31,111 min,1
s32,1 Season,2
s33,3 Seasons,2
s34,1 Season,2
s35,1 Season,2
s36,110 min,1
s37,105 min,1
s38,1 Season,2
s39,96 min,1
s40,3 Seasons,2
s41,1 Season,2
s42,124 min,1
s43,116 min,1
s44,98 min,1
s45,91 min,1
s46,23 min,1
s47,115 min,1
s48,1 Season,2
s49,122 min,1
s50,2 Seasons,2
s51,1 Season,2
s52,99 min,1
s53,99 min,1
s54,88 min,1
s55,100 min,1
s56,6 Seasons,2
s57,102 min,1
s58,93 min,1
s59,96 min,1
s60,95 min,1
s61,85 min,1
s62,97 min,1
s63,95 min,1
s64,83 min,1
s65,103 min,1
s66,6 Seasons,2
s67,1 Season,2
s68,9 Seasons,2
s69,113 min,1
s70,1 Season,2
s71,1 Season,2
s72,13 min,1
s73,5 Seasons,2
s74,182 min,1
s75,2 Seasons,2
s76,106 min,1
s77,1 Season,2
s78,48 min,1
s79,145 min,1
s80,145 min,1
s81,93 min,1
s82,106 min,1
s83,6 Seasons,2
s84,1 Season,2
s85,147 min,1
s86,1 Season,2
s87,87 min,1
s88,2 Seasons,2
s89,96 min,1
s90,4 Seasons,2
s91,95 min,1
s92,92 min,1
s93,2 Seasons,2
s94,91 min,1
s95,90 min,1
s96,3 Seasons,2
s97,97 min,1
s98,2 Seasons,2
s99,1 Season,2
s100,1 Season,2
s101,2 Seasons,2
s102,80 min,1
s103,1 Season,2
s104,117 min,1
s105,2 Seasons,2
s106,128 min,1
s107,5 Seasons,2
s108,90 min,1
s109,1 Season,2
s110,5 Seasons,2
s111,1 Season,2
s112,1 Season,2
