trip_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
1,1.0,9.5,0.0,0.5,2.06,0.0,0.3,0.0,12.36
2,1.0,5.5,0.0,0.5,0.88,0.0,0.3,2.5,9.68
3,1.0,9.5,0.5,0.5,2.66,0.0,0.3,2.5,15.96
4,1.0,9.0,0.5,0.5,2.0,0.0,0.3,2.5,14.8
5,1.0,6.0,0.0,0.5,2.79,0.0,0.3,2.5,12.09
6,1.0,8.0,0.5,0.5,2.36,0.0,0.3,2.5,14.16
7,1.0,14.5,2.5,0.5,3.55,0.0,0.3,2.5,21.35
8,1.0,15.0,0.5,0.5,1.0,0.0,0.3,2.5,19.8
9,2.0,11.5,0.0,0.5,0.0,0.0,0.3,2.5,14.8
10,1.0,5.5,2.5,0.5,2.0,0.0,0.3,2.5,10.8
11,1.0,25.5,0.0,0.5,6.0,6.12,0.3,2.5,40.92
12,2.0,12.0,0.0,0.5,0.0,0.0,0.3,2.5,15.3
13,2.0,8.0,2.5,0.5,0.0,0.0,0.3,2.5,11.3
14,1.0,5.5,0.0,0.5,1.2,0.0,0.3,0.0,7.5
15,1.0,10.5,0.5,0.5,2.14,0.0,0.3,2.5,16.44
16,2.0,9.5,0.0,0.5,0.0,0.0,0.3,2.5,12.8
17,1.0,6.0,0.5,0.5,0.98,0.0,0.3,2.5,10.78
18,1.0,8.5,2.5,0.5,1.5,0.0,0.3,2.5,13.3
19,1.0,11.5,2.5,0.5,2.22,0.0,0.3,2.5,17.02
20,1.0,14.5,0.0,0.5,3.56,0.0,0.3,2.5,21.36
21,1.0,3.5,0.0,0.5,0.0,0.0,0.3,0.0,4.3
22,1.0,6.0,1.0,0.5,2.06,0.0,0.3,2.5,12.36
23,1.0,31.0,0.0,0.5,6.0,6.12,0.3,2.5,46.42
24,1.0,10.0,0.0,0.5,1.0,0.0,0.3,2.5,14.3
25,1.0,5.0,2.5,0.5,1.1,0.0,0.3,2.5,9.4
26,1.0,8.5,0.5,0.5,2.46,0.0,0.3,2.5,14.76
27,1.0,8.5,0.0,0.5,2.36,0.0,0.3,2.5,14.16
28,1.0,17.5,1.0,0.5,4.36,0.0,0.3,2.5,26.16
29,1.0,20.0,0.5,0.5,0.0,0.0,0.3,2.5,23.8
30,2.0,18.0,0.0,0.5,0.0,0.0,0.3,0.0,18.8
31,1.0,11.0,1.0,0.5,3.06,0.0,0.3,2.5,18.36
32,1.0,9.0,3.5,0.5,0.0,0.0,0.3,2.5,13.3
33,2.0,10.5,3.0,0.5,0.0,0.0,0.3,2.5,14.3
34,1.0,12.5,1.0,0.5,2.0,0.0,0.3,2.5,18.8
35,1.0,10.5,1.0,0.5,4.44,0.0,0.3,2.5,19.24
36,2.0,10.0,0.0,0.5,0.0,0.0,0.3,2.5,13.3
37,1.0,5.0,1.0,0.5,1.86,0.0,0.3,2.5,11.16
38,2.0,21.5,0.0,0.5,0.0,0.0,0.3,2.5,24.8
39,2.0,6.0,0.0,0.5,0.0,0.0,0.3,2.5,9.3
40,1.0,4.5,3.0,0.5,1.0,0.0,0.3,2.5,9.3
41,1.0,34.5,2.5,0.5,10.95,6.12,0.3,2.5,54.87
42,1.0,11.5,2.5,0.5,2.96,0.0,0.3,2.5,17.76
43,1.0,8.0,1.0,0.5,2.46,0.0,0.3,2.5,14.76
44,1.0,5.0,3.5,0.5,1.4,0.0,0.3,2.5,10.7
45,1.0,10.5,3.0,0.5,2.0,0.0,0.3,2.5,16.3
46,1.0,4.0,0.5,0.5,1.17,0.0,0.3,2.5,8.97
47,1.0,6.5,0.5,0.5,2.58,0.0,0.3,2.5,12.88
48,2.0,12.0,0.5,0.5,0.0,0.0,0.3,2.5,15.8
49,1.0,12.0,0.0,0.5,2.4,0.0,0.3,2.5,17.7
50,2.0,6.0,2.5,0.5,0.0,0.0,0.3,2.5,9.3
51,2.0,17.0,0.0,0.5,0.0,0.0,0.3,2.5,20.3
52,1.0,6.0,0.0,0.5,6.0,0.0,0.3,2.5,15.3
